"fips","state","mean_no2","mean_ozone"
9005,"CT",13.0929965,39.31798421
9007,"CT",20.85754823,38.56146724
9009,"CT",27.08731643,37.71183986
9011,"CT",15.64644144,38.44005087
9013,"CT",16.5921947,38.3978311
9015,"CT",14.88085763,38.44200244
10001,"DE",18.07386163,40.3715695
10003,"DE",27.48280298,39.385802
10005,"DE",13.93481134,40.8724326
11001,"DC",31.34236325,39.60567998
12001,"FL",14.93015715,38.42127506
12003,"FL",11.93937304,38.86166245
12005,"FL",14.5408173,40.58143634
12007,"FL",11.15572631,38.00268729
12009,"FL",14.44496498,38.98202934
12011,"FL",18.24890031,33.37569906
12013,"FL",8.557090046,37.56201947
12015,"FL",12.22778436,37.9742507
12017,"FL",13.10166574,38.49879254
12019,"FL",16.72794137,39.35617079
12021,"FL",14.17097032,36.91824431
12023,"FL",12.42666778,38.85845331
12027,"FL",13.02207573,39.39189706
12029,"FL",12.20342996,37.80548349
12031,"FL",21.06066007,39.69633267
12033,"FL",13.99549451,40.39690929
12035,"FL",16.00191445,38.00475033
12037,"FL",14.26381367,37.44312049
12039,"FL",12.1315815,38.57958422
12041,"FL",8.451578144,38.38307556
12043,"FL",11.20209521,38.30271779
12045,"FL",14.48102815,37.14152675
12047,"FL",11.48858076,38.51594714
12049,"FL",10.25021989,38.6860477
12051,"FL",12.07242915,37.93369708
12053,"FL",13.65735578,39.08683469
12055,"FL",11.93292463,38.42275517
12057,"FL",17.79963943,38.86225634
12059,"FL",7.812358945,39.40441753
12061,"FL",13.37541302,38.86249852
12063,"FL",9.366614018,39.50595932
12065,"FL",12.65121947,39.34114665
12067,"FL",10.34548601,38.39702296
12069,"FL",15.55940638,39.06264473
12071,"FL",12.94631342,37.58543375
12073,"FL",15.01057455,38.8432881
12075,"FL",11.24026236,38.30606285
12077,"FL",12.23789464,38.10875815
12079,"FL",11.76564643,38.79094848
12081,"FL",12.07065534,37.59688432
12083,"FL",14.22364605,38.40430538
12085,"FL",13.33006003,37.22903151
12086,"FL",19.17509433,35.22855211
12087,"FL",11.49531675,36.67569034
12089,"FL",14.79179033,38.97096197
12091,"FL",11.32216378,40.25648265
12093,"FL",12.50849274,37.21894776
12095,"FL",18.41783719,37.7040595
12097,"FL",16.79253354,38.41369603
12099,"FL",16.7784651,35.33093336
12101,"FL",15.43990251,38.77697747
12103,"FL",16.90941771,37.50411378
12105,"FL",15.17270014,38.90756452
12107,"FL",13.87444217,37.55606883
12109,"FL",16.84304706,39.18757022
12111,"FL",12.93421076,37.12095029
12113,"FL",10.99578401,40.33686896
12115,"FL",11.62029141,38.44424141
12117,"FL",17.36535259,37.42840887
12119,"FL",15.05417525,39.07328333
12121,"FL",10.041655,38.57297231
12123,"FL",11.84780098,38.97054672
12125,"FL",11.52845337,39.22211235
12127,"FL",16.22310303,38.26330349
12129,"FL",10.34307377,38.55107322
12131,"FL",10.17743299,40.21561496
12133,"FL",10.29626498,39.61970388
13001,"GA",11.21709914,39.28252378
13003,"GA",9.554312644,39.4667577
13005,"GA",8.856915874,39.44542775
13007,"GA",7.946961926,39.28232327
13009,"GA",15.71548648,41.12214117
13011,"GA",11.34450463,41.63540919
13013,"GA",16.00348179,42.21080831
13015,"GA",9.469243883,41.18466702
13017,"GA",8.204621012,40.26536992
13019,"GA",9.223120296,39.60882973
13021,"GA",18.65546336,40.5251162
13023,"GA",8.449380743,41.28768867
13025,"GA",10.96106489,38.17432333
13027,"GA",9.060586685,38.85387228
13029,"GA",10.19825627,37.80854732
13031,"GA",10.1370894,40.24890739
13033,"GA",7.887066691,40.48777224
13035,"GA",9.840401452,41.96010139
13037,"GA",8.143153388,39.56114448
13039,"GA",14.42010153,38.09820242
13043,"GA",8.853134888,41.79468308
13045,"GA",9.286890895,40.40678958
13047,"GA",12.59256699,41.70966617
13049,"GA",12.2823089,38.29451292
13051,"GA",14.17760489,38.89670869
13053,"GA",9.445671872,40.21122292
13055,"GA",6.652839559,40.90634572
13057,"GA",17.37459213,41.01025619
13059,"GA",16.87824495,41.4006909
13061,"GA",7.519264213,39.59365547
13063,"GA",26.86906637,40.43489038
13065,"GA",12.40831457,38.85043488
13067,"GA",26.84935099,40.56600206
13069,"GA",10.4787352,39.97794996
13071,"GA",10.35366221,39.94997699
13073,"GA",10.05530917,40.14992278
13075,"GA",13.65379048,39.73926421
